38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
30.1605,-92.0332
30.1605,-92.0332
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
37.4192,-122.0574
28.6766,-81.1991
28.6766,-81.1991
50.1232, 11.9345
-23.5411, -46.6335
40.8843,-81.5946
40.8843,-81.5946
46.2114, 2.0432
38.8357,-77.3375
38.8357,-77.3375
-38.3833,145.0833
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
29.7672,-95.1589
29.7672,-95.1589
37.4192,-122.0574
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
30.2642,-93.3265
30.2642,-93.3265
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
37.4192,-122.0574
38.8357,-77.3375
37.4192,-122.0574
37.4192,-122.0574
37.4192,-122.0574
37.4192,-122.0574
37.4192,-122.0574
43.4133,-92.9573
43.4133,-92.9573
38.8357,-77.3375
42.0657,-93.6928
42.0657,-93.6928
43.4133,-92.9573
43.4133,-92.9573
38.8357,-77.3375
37.7510,-97.8220
37.7510,-97.8220
37.7510,-97.8220
38.8357,-77.3375
38.8357,-77.3375
37.4192,-122.0574
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
35.0639,-106.4788
43.7001,-80.3664
43.7001,-80.3664
38.8357,-77.3375
43.5637,-79.7202
43.5637,-79.7202
43.5637,-79.7202
33.2023,-84.2306
43.5637,-79.7202
43.5637,-79.7202
43.5637,-79.7202
43.5637,-79.7202
37.5214, 127.0042
43.5637,-79.7202
38.8357,-77.3375
38.8357,-77.3375
45.8696,-119.6880
38.8357,-77.3375
33.2023,-84.2306
38.8357,-77.3375
34.0247,-84.5033
34.0247,-84.5033
38.8357,-77.3375
38.8357,-77.3375
38.8357,-77.3375
44.9054,-92.8829
44.9054,-92.8829
38.8357,-77.3375
38.8357,-77.3375
39.9469,-105.2142
39.9469,-105.2142
38.8357,-77.3375
39.0487,-77.6082
39.0487,-77.6082
39.0487,-77.6082
39.0487,-77.6082
38.8357,-77.3375
